Drug URL,Drug Class
https:$$www.drugs.com$mtm$endosol-extra-intraocular.html,Ophthalmic lubricants and irrigations
https:$$www.drugs.com$pro$citalopram-oral-solution.html,Selective serotonin reuptake inhibitors
https:$$www.drugs.com$pro$ovace-wash.html,Topical antibiotics
https:$$www.drugs.com$mtm$brimonidine-and-brinzolamide-ophthalmic.html,Ophthalmic glaucoma agents
https:$$www.drugs.com$pro$proctofoam-hc.html,Anorectal preparations
https:$$www.drugs.com$cons$ziextenzo-subcutaneous.html,Colony stimulating factors
https:$$www.drugs.com$steglujan.html,Antidiabetic combinations
https:$$www.drugs.com$mtm$zinc-gluconate.html,Minerals and electrolytes
https:$$www.drugs.com$mtm$hyperrho-s-d-mini-dose.html,Immune globulins
https:$$www.drugs.com$mtm$pred-forte-ophthalmic.html,Ophthalmic steroids
https:$$www.drugs.com$mtm$secura-antifungal.html,Topical antifungals
https:$$www.drugs.com$mtm$tears-naturale.html,Ophthalmic lubricants and irrigations
https:$$www.drugs.com$pro$desvenlafaxine-er-tablets.html,Serotonin-norepinephrine reuptake inhibitors
https:$$www.drugs.com$mtm$lysodren.html,Miscellaneous antineoplastics
https:$$www.drugs.com$cons$botulism-antitoxin-heptavalent-abcdefg-equine.html,Antitoxins and antivenins
https:$$www.drugs.com$mtm$cystagon.html,Miscellaneous uncategorized agents
https:$$www.drugs.com$cons$aristada-initio.html,Atypical antipsychotics
https:$$www.drugs.com$pro$darvocet-a500.html,Narcotic analgesic combinations
https:$$www.drugs.com$mtm$pacerone.html,Group III antiarrhythmics
https:$$www.drugs.com$mtm$diflorasone-topical.html,Topical steroids
https:$$www.drugs.com$mtm$glucophage-xr.html,Non-sulfonylureas
https:$$www.drugs.com$mtm$avsola.html,TNF alfa inhibitors
https:$$www.drugs.com$mtm$magnesium-salicylate.html,Salicylates
https:$$www.drugs.com$mtm$diabetic-tussin-night-time-formula.html,Upper respiratory combinations
https:$$www.drugs.com$mtm$alogliptin-and-pioglitazone.html,Antidiabetic combinations
https:$$www.drugs.com$pro$ferric-subsulfate-aqueous.html,Miscellaneous coagulation modifiers
https:$$www.drugs.com$mtm$uramaxin.html,Topical emollients
https:$$www.drugs.com$mtm$micro-guard.html,Topical antifungals
https:$$www.drugs.com$pro$hailey-fe-1-5-30.html,Contraceptives
https:$$www.drugs.com$mtm$ibuprofen-injection.html,Nonsteroidal anti-inflammatory drugs
https:$$www.drugs.com$mtm$alpha-lipoic-acid.html,Nutraceutical products
https:$$www.drugs.com$pro$testopel.html,Androgens and anabolic steroids
https:$$www.drugs.com$pro$ambator-diclofenac-patch.html,Topical non-steroidal anti-inflammatories
https:$$www.drugs.com$mtm$fleet-enema-rectal.html,Laxatives
https:$$www.drugs.com$pro$vitafol-strips.html,Vitamin and mineral combinations
https:$$www.drugs.com$cons$anacaine.html,Topical anesthetics
https:$$www.drugs.com$cons$aventyl.html,Tricyclic antidepressants
https:$$www.drugs.com$cons$adalat-pa-10.html,Calcium channel blocking agents
https:$$www.drugs.com$cons$hydrocortisone-cream-topical-application.html,Topical steroids
https:$$www.drugs.com$mtm$relamine.html,Nutraceutical products
https:$$www.drugs.com$pro$pediapred-oral-solution.html,Glucocorticoids
https:$$www.drugs.com$mtm$atazanavir-and-cobicistat.html,Antiviral combinations
https:$$www.drugs.com$zelnorm.html,Serotoninergic neuroenteric modulators
https:$$www.drugs.com$mtm$lemborexant.html,"Miscellaneous anxiolytics, sedatives and hypnotics"
https:$$www.drugs.com$mtm$uribel.html,Urinary antispasmodics
https:$$www.drugs.com$pro$olanzapine-orally-disintegrating-tablets.html,Atypical antipsychotics
https:$$www.drugs.com$pro$gabapentin-oral-solution.html,Gamma-aminobutyric acid analogs
https:$$www.drugs.com$mtm$critic-aid-clear-af.html,Topical antifungals
https:$$www.drugs.com$blincyto.html,CD19 monoclonal antibodies
https:$$www.drugs.com$pro$celexib-100-ezs.html,Cox-2 inhibitors
https:$$www.drugs.com$pro$isovue-m.html,Non-ionic iodinated contrast media
https:$$www.drugs.com$mtm$penciclovir-topical.html,Topical antivirals
https:$$www.drugs.com$duphalac.html,Laxatives
https:$$www.drugs.com$mtm$optimoist.html,Mouth and throat products
https:$$www.drugs.com$pro$synalar-ointment.html,Topical steroids
https:$$www.drugs.com$pro$oral-gel.html,Topical anesthetics
https:$$www.drugs.com$mtm$sea-omega.html,Nutraceutical products
https:$$www.drugs.com$pro$ibupak.html,Nonsteroidal anti-inflammatory drugs
https:$$www.drugs.com$mtm$mometasone-nasal.html,Nasal steroids
https:$$www.drugs.com$cons$limbrel.html,Vitamins
https:$$www.drugs.com$pro$oxycodone-immediate-release-capsules.html,Opioids (narcotic analgesics)
https:$$www.drugs.com$cons$mazepine.html,Dibenzazepine anticonvulsants
https:$$www.drugs.com$mtm$adrucil-injection.html,Antimetabolites
https:$$www.drugs.com$cons$teva-prednisone.html,Glucocorticoids
https:$$www.drugs.com$cons$marvelon-28-white-tablet.html,Contraceptives
https:$$www.drugs.com$pro$ameluz-gel.html,Topical photochemotherapeutics
https:$$www.drugs.com$mtm$fluticasone-nasal.html,Nasal steroids
https:$$www.drugs.com$pro$omeprazole-and-sodium-bicarbonate-capsule.html,Proton pump inhibitors
https:$$www.drugs.com$cons$nuprin.html,Nonsteroidal anti-inflammatory drugs
https:$$www.drugs.com$pro$albuterol-inhalation-solution.html,Adrenergic bronchodilators
https:$$www.drugs.com$mtm$caltrate-600-d-soft-chews.html,Vitamin and mineral combinations
https:$$www.drugs.com$cons$vivelle-37-5-mcg.html,Estrogens
https:$$www.drugs.com$cons$lotrimin-topical.html,Topical antifungals
https:$$www.drugs.com$mtm$vyondys-53.html,Miscellaneous uncategorized agents
https:$$www.drugs.com$mtm$microgestin-24-fe-birth-control.html,Contraceptives
https:$$www.drugs.com$pro$venexa-tablets.html,Vitamin and mineral combinations
https:$$www.drugs.com$daxxify.html,Skeletal muscle relaxants
https:$$www.drugs.com$pro$wal-zyr-d.html,Upper respiratory combinations
https:$$www.drugs.com$mtm$ginkgo.html,Herbal products
https:$$www.drugs.com$mtm$auranofin.html,Antirheumatics
https:$$www.drugs.com$mtm$carbetapentane-and-guaifenesin.html,Upper respiratory combinations
https:$$www.drugs.com$cons$se-aspartate.html,Minerals and electrolytes
https:$$www.drugs.com$cons$apo-tramadol-acet.html,Narcotic analgesic combinations
https:$$www.drugs.com$mtm$doxorubicin.html,Antibiotics / antineoplastics
https:$$www.drugs.com$mtm$clopidogrel.html,Platelet aggregation inhibitors
https:$$www.drugs.com$mtm$loteprednol-and-tobramycin-ophthalmic.html,Ophthalmic steroids with anti-infectives
https:$$www.drugs.com$cons$vanatrip.html,Tricyclic antidepressants
https:$$www.drugs.com$mtm$remeven.html,Topical emollients
https:$$www.drugs.com$mtm$chlorcyclizine-and-pseudoephedrine.html,Upper respiratory combinations
https:$$www.drugs.com$nayzilam.html,Benzodiazepines
https:$$www.drugs.com$restasis.html,Ophthalmic anti-inflammatory agents
https:$$www.drugs.com$dok.html,Laxatives
https:$$www.drugs.com$pro$hypercare.html,Miscellaneous topical agents
https:$$www.drugs.com$mtm$aprodine.html,Upper respiratory combinations
https:$$www.drugs.com$mtm$cholecalciferol.html,Vitamins
https:$$www.drugs.com$mtm$azo-gesic.html,Miscellaneous genitourinary tract agents
https:$$www.drugs.com$pro$nyata.html,Topical antifungals
https:$$www.drugs.com$cons$apo-ketorolac.html,Ophthalmic anti-inflammatory agents
https:$$www.drugs.com$mtm$camphor-and-menthol-topical.html,Topical rubefacient
https:$$www.drugs.com$pro$latanoprost-ophthalmic-solution.html,Ophthalmic glaucoma agents
https:$$www.drugs.com$cons$barriere-hc-topical-application.html,Topical steroids
https:$$www.drugs.com$pro$melphalan-tablets.html,Alkylating agents
https:$$www.drugs.com$mtm$inova-8-2-topical.html,Topical acne agents
https:$$www.drugs.com$mtm$bee-pollen.html,Herbal products
https:$$www.drugs.com$cons$roxybond.html,Opioids (narcotic analgesics)
https:$$www.drugs.com$pro$equate-nicotine-lozenge.html,Smoking cessation agents
https:$$www.drugs.com$mtm$aldomet.html,"Antiadrenergic agents, centrally acting"
https:$$www.drugs.com$cons$fabior-topical.html,Topical acne agents
https:$$www.drugs.com$mtm$clorazepate.html,Benzodiazepines
https:$$www.drugs.com$mtm$sumatriptan-oral-nasal.html,Antimigraine agents
https:$$www.drugs.com$zynteglo.html,Miscellaneous uncategorized agents
https:$$www.drugs.com$mtm$ibutilide.html,Group III antiarrhythmics
https:$$www.drugs.com$mtm$targretin.html,Miscellaneous antineoplastics
https:$$www.drugs.com$cons$anjeso.html,Nonsteroidal anti-inflammatory drugs
https:$$www.drugs.com$mtm$benzyl-alcohol-topical.html,Topical anti-infectives
https:$$www.drugs.com$mtm$lomustine.html,Alkylating agents
https:$$www.drugs.com$mtm$refresh-eye-itch-relief.html,Ophthalmic antihistamines and decongestants
https:$$www.drugs.com$pro$tobradex-eye-drops.html,Ophthalmic steroids with anti-infectives
https:$$www.drugs.com$pro$ovace-plus-cream.html,Topical antibiotics
https:$$www.drugs.com$mtm$epoetin-beta-and-methoxy-polyethylene-glycol.html,Recombinant human erythropoietins
https:$$www.drugs.com$clozapine.html,Atypical antipsychotics
https:$$www.drugs.com$cons$clinimix-e-4-25-5.html,Intravenous nutritional products
https:$$www.drugs.com$mtm$prednisol-ophthalmic.html,Ophthalmic steroids
https:$$www.drugs.com$mtm$ferric-citrate.html,Phosphate binders
https:$$www.drugs.com$savaysa.html,Factor Xa inhibitors
https:$$www.drugs.com$clarinex-d_12_hour.html,Upper respiratory combinations
https:$$www.drugs.com$surfaxin.html,Lung surfactants
https:$$www.drugs.com$mtm$lincocin.html,Lincomycin derivatives
https:$$www.drugs.com$mtm$corlopam.html,Agents for hypertensive emergencies
https:$$www.drugs.com$cons$estradot-transdermal-therapeutic-system-transdermal.html,Estrogens
https:$$www.drugs.com$mtm$gentak.html,Ophthalmic anti-infectives
https:$$www.drugs.com$pro$metformin-extended-release-tablet.html,Non-sulfonylureas
https:$$www.drugs.com$pro$quzyttir-injection.html,Antihistamines
https:$$www.drugs.com$accupril.html,Angiotensin Converting Enzyme Inhibitors
https:$$www.drugs.com$mtm$artesunate.html,Miscellaneous antimalarials
https:$$www.drugs.com$cons$pms-lindane-topical.html,Topical anti-infectives
https:$$www.drugs.com$mtm$actemra-actpen.html,Interleukin inhibitors
https:$$www.drugs.com$pro$augmentin-oral-suspension.html,Beta-lactamase inhibitors
https:$$www.drugs.com$mtm$oncaspar.html,Miscellaneous antineoplastics
https:$$www.drugs.com$cons$execof-xp.html,Upper respiratory combinations
https:$$www.drugs.com$singulair.html,Leukotriene modifiers
https:$$www.drugs.com$pro$procort-cream.html,Anorectal preparations
https:$$www.drugs.com$boostrix.html,Vaccine combinations
https:$$www.drugs.com$pro$advil-liqui-gels.html,Nonsteroidal anti-inflammatory drugs
https:$$www.drugs.com$mtm$leucovorin.html,Antidotes
https:$$www.drugs.com$pro$clinimix-e.html,Intravenous nutritional products
https:$$www.drugs.com$mtm$epiduo-pump-topical.html,Topical acne agents
https:$$www.drugs.com$mtm$metformin-and-pioglitazone.html,Antidiabetic combinations
https:$$www.drugs.com$pro$chlorothiazide-injection.html,Thiazide diuretics
https:$$www.drugs.com$mtm$propafenone.html,Group I antiarrhythmics
https:$$www.drugs.com$mtm$vasoflex-hd.html,Vitamins
https:$$www.drugs.com$mtm$blink-contacts.html,Ophthalmic lubricants and irrigations
https:$$www.drugs.com$mtm$senna-plus.html,Laxatives
https:$$www.drugs.com$sporanox.html,Azole antifungals
https:$$www.drugs.com$mtm$lacri-lube-s-o-p.html,Ophthalmic lubricants and irrigations
https:$$www.drugs.com$pro$fluocinolone.html,Topical steroids
https:$$www.drugs.com$cons$diflucan-iv.html,Azole antifungals
https:$$www.drugs.com$pro$medi-patch-with-lidocaine.html,Topical anesthetics
https:$$www.drugs.com$trelegy-ellipta.html,Bronchodilator combinations
https:$$www.drugs.com$cons$hypertet-s-d.html,Immune globulins
https:$$www.drugs.com$mtm$diclofenac-transdermal.html,Topical non-steroidal anti-inflammatories
https:$$www.drugs.com$cons$budeprion-xl.html,Miscellaneous antidepressants
https:$$www.drugs.com$mtm$viekira-pak.html,Antiviral combinations
https:$$www.drugs.com$mtm$cetuximab.html,EGFR inhibitors
https:$$www.drugs.com$pro$technetium-tc-99m-sestamibi.html,Radiologic conjugating agents
https:$$www.drugs.com$mtm$pramoxine-topical.html,Topical anesthetics
https:$$www.drugs.com$gardasil.html,Viral vaccines
https:$$www.drugs.com$pluvicto.html,Therapeutic radiopharmaceuticals
https:$$www.drugs.com$pro$valsartan-tablets.html,Angiotensin receptor blockers
https:$$www.drugs.com$pro$erwinaze.html,Miscellaneous antineoplastics
https:$$www.drugs.com$mtm$vascazen.html,Nutraceutical products
https:$$www.drugs.com$mtm$calcitrene.html,Topical antipsoriatics
https:$$www.drugs.com$pro$ibesartan.html,Angiotensin receptor blockers
https:$$www.drugs.com$tribenzor.html,Miscellaneous antihypertensive combinations
https:$$www.drugs.com$cons$hecoria.html,Calcineurin inhibitors
https:$$www.drugs.com$mtm$flumist-quadrivalent-2021-2022-nasal.html,Viral vaccines
https:$$www.drugs.com$mtm$ocella.html,Contraceptives
https:$$www.drugs.com$pro$pentostatin-injection.html,Antibiotics / antineoplastics
https:$$www.drugs.com$aubagio.html,Selective immunosuppressants
https:$$www.drugs.com$mtm$prenatal-dha.html,Nutraceutical products
https:$$www.drugs.com$cons$enpresse.html,Contraceptives
https:$$www.drugs.com$signifor.html,Somatostatin and somatostatin analogs
https:$$www.drugs.com$orajel.html,Topical anesthetics
https:$$www.drugs.com$pro$carnitor-tablets.html,Nutraceutical products
https:$$www.drugs.com$mtm$ketodan.html,Topical antifungals
https:$$www.drugs.com$cons$allergy-congestion-relief.html,Upper respiratory combinations
https:$$www.drugs.com$pro$priloheal-plus.html,Topical anesthetics
https:$$www.drugs.com$mtm$belzutifan.html,Miscellaneous antineoplastics
https:$$www.drugs.com$mtm$topicort-lp.html,Topical steroids
https:$$www.drugs.com$mtm$donepezil-and-memantine.html,Cholinesterase inhibitors
https:$$www.drugs.com$mtm$nu-iron-150.html,Iron products
https:$$www.drugs.com$cons$antibiotic-otic.html,Otic steroids with anti-infectives
https:$$www.drugs.com$mtm$baloxavir-marboxil.html,Miscellaneous antivirals
https:$$www.drugs.com$cons$first-lansoprazole.html,Proton pump inhibitors
https:$$www.drugs.com$pro$hemox-a.html,Miscellaneous topical agents
https:$$www.drugs.com$mtm$penicillin-g-benzathine-and-penicillin-g-procaine.html,Natural penicillins
https:$$www.drugs.com$viread.html,Nucleoside reverse transcriptase inhibitors (NRTIs)
https:$$www.drugs.com$mtm$zanosar.html,Alkylating agents
https:$$www.drugs.com$cons$miacalcin-injection.html,Calcitonin
https:$$www.drugs.com$mtm$calcitriol-topical.html,Topical antipsoriatics
https:$$www.drugs.com$mtm$testred.html,Androgens and anabolic steroids
https:$$www.drugs.com$mtm$lysine.html,Nutraceutical products
https:$$www.drugs.com$pro$diclofenac-capsule.html,Nonsteroidal anti-inflammatory drugs
https:$$www.drugs.com$pro$cardiolite.html,Radiologic conjugating agents
https:$$www.drugs.com$adalat.html,Calcium channel blocking agents
https:$$www.drugs.com$cons$mytrex-topical.html,Topical steroids with anti-infectives
https:$$www.drugs.com$verdeso.html,Topical steroids
https:$$www.drugs.com$pro$valganciclovir-solution.html,Purine nucleosides
https:$$www.drugs.com$gavreto.html,Multikinase inhibitors
https:$$www.drugs.com$mtm$naloxone-and-pentazocine.html,Narcotic analgesic combinations
https:$$www.drugs.com$cons$nasacort.html,Nasal steroids
https:$$www.drugs.com$darvocet.html,Narcotic analgesic combinations
https:$$www.drugs.com$marinol.html,Miscellaneous antiemetics
https:$$www.drugs.com$mtm$daratumumab.html,CD38 monoclonal antibodies
https:$$www.drugs.com$cons$cis-sulfur-colloid-injection.html,Radiologic conjugating agents
https:$$www.drugs.com$mtm$lisocabtagene-maraleucel.html,Miscellaneous antineoplastics
https:$$www.drugs.com$cons$ran-fentanyl-transdermal-system-75.html,Opioids (narcotic analgesics)
https:$$www.drugs.com$depakote.html,Fatty acid derivative anticonvulsants
https:$$www.drugs.com$mtm$flucelvax-pf-quadrivalent-2021-2022-injection.html,Viral vaccines
https:$$www.drugs.com$cons$esobar.html,Non-iodinated contrast media
https:$$www.drugs.com$cons$cellcept-oral.html,Selective immunosuppressants
https:$$www.drugs.com$mtm$ammonium-lactate-topical.html,Topical emollients
https:$$www.drugs.com$pro$benadryl-itch-stopping-gel.html,Topical antihistamines
https:$$www.drugs.com$cons$sufenta.html,Opioids (narcotic analgesics)
https:$$www.drugs.com$cons$a-caro-25.html,Vitamins
https:$$www.drugs.com$mtm$lutetium-lu-177-dotatate.html,Therapeutic radiopharmaceuticals
https:$$www.drugs.com$cons$apo-amphetamine-xr-30mg-tablet.html,CNS stimulants
https:$$www.drugs.com$mtm$hyalgan-injection.html,Viscosupplementation agents
https:$$www.drugs.com$cons$ilosone-oral.html,Macrolides
https:$$www.drugs.com$pro$proctocort-cream.html,Topical steroids
https:$$www.drugs.com$mtm$mentholatum-greaseless-vaporizing.html,Topical rubefacient
https:$$www.drugs.com$prograf.html,Calcineurin inhibitors
https:$$www.drugs.com$pro$fenofibrate-capsules.html,Fibric acid derivatives
https:$$www.drugs.com$mtm$finerenone.html,Aldosterone receptor antagonists
https:$$www.drugs.com$avandamet.html,Antidiabetic combinations
https:$$www.drugs.com$pro$dabigatran-capsules.html,Thrombin inhibitors
https:$$www.drugs.com$mtm$topicort.html,Topical steroids
https:$$www.drugs.com$cotempla-xr-odt.html,CNS stimulants
https:$$www.drugs.com$duetact.html,Antidiabetic combinations
https:$$www.drugs.com$mtm$tinactin.html,Topical antifungals
https:$$www.drugs.com$pro$aminocaproic-acid-oral-solution.html,Miscellaneous coagulation modifiers
https:$$www.drugs.com$zyrtec.html,Antihistamines
https:$$www.drugs.com$pro$moxifloxacin-injection.html,Quinolones
https:$$www.drugs.com$pro$hyosyne-elixir.html,Anticholinergics / antispasmodics
https:$$www.drugs.com$pro$zynlonta-injection.html,Miscellaneous antineoplastics
https:$$www.drugs.com$mtm$coricidin-hbp-chest-congestion-cough.html,Upper respiratory combinations
https:$$www.drugs.com$cons$symlinpen.html,Amylin analogs
https:$$www.drugs.com$mtm$relagard-vaginal.html,Topical anti-infectives
https:$$www.drugs.com$mtm$anthrax-vaccine.html,Bacterial vaccines
https:$$www.drugs.com$mtm$capsaicin-topical.html,Miscellaneous topical agents
https:$$www.drugs.com$seroquel.html,Atypical antipsychotics
https:$$www.drugs.com$mtm$hydrocortisone-topical.html,Topical steroids
https:$$www.drugs.com$pro$ergoloid-tablets.html,Miscellaneous central nervous system agents
https:$$www.drugs.com$cons$varibar.html,Non-iodinated contrast media
https:$$www.drugs.com$paragard.html,Miscellaneous vaginal agents
https:$$www.drugs.com$pro$levetiracetam-injection.html,Pyrrolidine anticonvulsants
https:$$www.drugs.com$mtm$thymoglobulin-rabbit.html,Selective immunosuppressants
https:$$www.drugs.com$carfilzomib.html,Proteasome inhibitors
https:$$www.drugs.com$cons$nasonex.html,Nasal steroids
https:$$www.drugs.com$cons$cedax.html,Third generation cephalosporins
https:$$www.drugs.com$troxyca-er.html,Narcotic analgesic combinations
https:$$www.drugs.com$pro$heparin-and-sodium-chloride.html,Heparins
https:$$www.drugs.com$pro$tussionex.html,Upper respiratory combinations
https:$$www.drugs.com$cons$fluarix-quadrivalent-2015-2016-formula.html,Viral vaccines
https:$$www.drugs.com$cons$advair-hfa-115-21.html,Bronchodilator combinations
https:$$www.drugs.com$mtm$ethamolin.html,Sclerosing agents
https:$$www.drugs.com$pro$cerianna-injection.html,Diagnostic radiopharmaceuticals
https:$$www.drugs.com$pro$chloromycetin.html,Miscellaneous antibiotics
https:$$www.drugs.com$cons$cevi-bid.html,Vitamins
https:$$www.drugs.com$cons$zilactin-b.html,Topical anesthetics
https:$$www.drugs.com$mtm$osteo-bi-flex-advanced-msm.html,Nutraceutical products
https:$$www.drugs.com$mtm$nilotinib.html,BCR-ABL tyrosine kinase inhibitors
https:$$www.drugs.com$cons$factrel.html,Gonadotropin releasing hormones
https:$$www.drugs.com$cons$thioplex.html,Alkylating agents
https:$$www.drugs.com$mtm$allfen-c.html,Upper respiratory combinations
https:$$www.drugs.com$epivir.html,Nucleoside reverse transcriptase inhibitors (NRTIs)
https:$$www.drugs.com$cons$etrafon.html,Psychotherapeutic combinations
https:$$www.drugs.com$pro$ventrixyl.html,Vitamin and mineral combinations
https:$$www.drugs.com$mtm$pentoxifylline.html,Miscellaneous coagulation modifiers
https:$$www.drugs.com$mtm$nolix.html,Topical steroids
https:$$www.drugs.com$mtm$androgel-packets.html,Androgens and anabolic steroids
https:$$www.drugs.com$mtm$olodaterol-and-tiotropium.html,Bronchodilator combinations
https:$$www.drugs.com$pro$neosporin-ophthalmic-solution.html,Ophthalmic anti-infectives
https:$$www.drugs.com$mtm$natrol-same.html,Nutraceutical products
https:$$www.drugs.com$cons$vioform-topical.html,Topical antifungals
https:$$www.drugs.com$albuterol.html,Adrenergic bronchodilators
https:$$www.drugs.com$cons$fluolar-mild.html,Topical steroids
https:$$www.drugs.com$mtm$acetaminophen-and-diphenhydramine.html,Analgesic combinations
https:$$www.drugs.com$cons$feldene.html,Nonsteroidal anti-inflammatory drugs
https:$$www.drugs.com$pro$plasma-lyte-148.html,Intravenous nutritional products
https:$$www.drugs.com$mtm$phos-nak.html,Minerals and electrolytes
https:$$www.drugs.com$pro$gavilyte-h-and-bisacodyl.html,Laxatives
https:$$www.drugs.com$cons$pavacot.html,Peripheral vasodilators
https:$$www.drugs.com$tarpeyo.html,Glucocorticoids
https:$$www.drugs.com$mtm$vecuronium.html,Neuromuscular blocking agents
https:$$www.drugs.com$mtm$hydrochlorothiazide-and-lisinopril.html,ACE inhibitors with thiazides
https:$$www.drugs.com$roxicet.html,Narcotic analgesic combinations
https:$$www.drugs.com$mtm$diclofenac-topical.html,Topical non-steroidal anti-inflammatories
https:$$www.drugs.com$mtm$sutan.html,Upper respiratory combinations
https:$$www.drugs.com$pro$ipratropium-and-albuterol.html,Bronchodilator combinations
https:$$www.drugs.com$mtm$prothrombin-complex.html,Anticoagulant reversal agents
https:$$www.drugs.com$carafate.html,Miscellaneous GI agents
https:$$www.drugs.com$mtm$rivaroxaban.html,Factor Xa inhibitors
https:$$www.drugs.com$mtm$cromolyn-sodium-inhalation.html,Mast cell stabilizers
https:$$www.drugs.com$pro$uro-sp.html,Urinary antispasmodics
https:$$www.drugs.com$pro$metoprolol-succinate-er-tablets.html,Cardioselective beta blockers
https:$$www.drugs.com$cons$ag-metformin-blackberry.html,Non-sulfonylureas
https:$$www.drugs.com$pro$lidorx-gel.html,Topical anesthetics
https:$$www.drugs.com$mtm$pramoxine-and-zinc-oxide-topical.html,Anorectal preparations
https:$$www.drugs.com$cons$acetoxyl-20-topical.html,Topical acne agents
https:$$www.drugs.com$cons$tri-sprintec.html,Contraceptives
https:$$www.drugs.com$mtm$liq-10-coenzyme-q-10.html,Nutraceutical products
https:$$www.drugs.com$cons$limbitrol.html,Psychotherapeutic combinations
https:$$www.drugs.com$mtm$cortisporin-tc-otic.html,Otic steroids with anti-infectives
https:$$www.drugs.com$pro$doral-tablets.html,Benzodiazepines
https:$$www.drugs.com$pro$alprazolam-xr.html,Benzodiazepines
https:$$www.drugs.com$cons$lotemax-sm.html,Ophthalmic steroids
https:$$www.drugs.com$pro$buprenorphine-patch.html,Opioids (narcotic analgesics)
https:$$www.drugs.com$cons$idelvion-intravenous.html,Miscellaneous coagulation modifiers
https:$$www.drugs.com$keytruda.html,Anti-PD-1 monoclonal antibodies
https:$$www.drugs.com$cons$ran-risperidone.html,Atypical antipsychotics
https:$$www.drugs.com$cons$alti-piroxicam.html,Nonsteroidal anti-inflammatory drugs
https:$$www.drugs.com$mtm$phlemex.html,Upper respiratory combinations
https:$$www.drugs.com$pro$ibuprofen-and-diphenhydramine.html,Analgesic combinations
https:$$www.drugs.com$pro$ovidrel-injection.html,Gonadotropins
https:$$www.drugs.com$mtm$delta-d3.html,Vitamins
https:$$www.drugs.com$pro$norgestrel-and-ethinyl-estradiol.html,Contraceptives
https:$$www.drugs.com$cons$oxistat-topical.html,Topical antifungals
https:$$www.drugs.com$pro$mometasone-lotion.html,Topical steroids
https:$$www.drugs.com$benzyl-alcohol.html,Topical anti-infectives
https:$$www.drugs.com$pro$good-sense-sleep-aid.html,"Miscellaneous anxiolytics, sedatives and hypnotics"
https:$$www.drugs.com$mtm$carboprost.html,Uterotonic agents
https:$$www.drugs.com$pro$olivia-quido-blemish-erase.html,Topical depigmenting agents
https:$$www.drugs.com$pro$lidopac.html,Topical anesthetics
https:$$www.drugs.com$mtm$liquibid-pd.html,Upper respiratory combinations
https:$$www.drugs.com$mtm$decara.html,Vitamins
https:$$www.drugs.com$cons$zide.html,Thiazide diuretics
https:$$www.drugs.com$cons$tol-tab.html,Sulfonylureas
https:$$www.drugs.com$cons$cis-mdp.html,Radiologic conjugating agents
https:$$www.drugs.com$zithromax.html,Macrolides
https:$$www.drugs.com$victrelis.html,Protease inhibitors
https:$$www.drugs.com$mtm$trilyte-with-flavor-packs.html,Laxatives
https:$$www.drugs.com$pro$homatropine-ophthalmic-solution.html,Mydriatics
https:$$www.drugs.com$lialda.html,5-aminosalicylates
https:$$www.drugs.com$cons$vioform-hydrocortisone-topical.html,Topical steroids with anti-infectives
https:$$www.drugs.com$mtm$mucinex-nightshift-cold-flu-clear-cool.html,Upper respiratory combinations
https:$$www.drugs.com$pro$melamin-c-skin-bleaching-cream.html,Topical depigmenting agents
https:$$www.drugs.com$mtm$barberry.html,Herbal products
https:$$www.drugs.com$cons$mint-tramadol-acet.html,Narcotic analgesic combinations
https:$$www.drugs.com$mtm$gadoteridol.html,Magnetic resonance imaging contrast media
https:$$www.drugs.com$cons$ceenu.html,Alkylating agents
https:$$www.drugs.com$tegretol.html,Dibenzazepine anticonvulsants
https:$$www.drugs.com$mtm$colestipol.html,Bile acid sequestrants
https:$$www.drugs.com$mtm$refresh-plus.html,Ophthalmic lubricants and irrigations
https:$$www.drugs.com$mtm$testosterone-oral.html,Androgens and anabolic steroids
https:$$www.drugs.com$novolog.html,Insulin
https:$$www.drugs.com$pro$spevigo-injection.html,Interleukin inhibitors
https:$$www.drugs.com$mtm$aquatab-dm.html,Upper respiratory combinations
https:$$www.drugs.com$mtm$voxelotor.html,Miscellaneous uncategorized agents
https:$$www.drugs.com$cons$loprox-ts-topical.html,Topical antifungals
https:$$www.drugs.com$cons$dec-agesic-a-b.html,Otic anesthetics
https:$$www.drugs.com$mtm$myxredlin.html,Insulin
https:$$www.drugs.com$addyi.html,Miscellaneous central nervous system agents
https:$$www.drugs.com$cons$pyrecot.html,Miscellaneous analgesics
https:$$www.drugs.com$mtm$difil-g-forte.html,Antiasthmatic combinations
https:$$www.drugs.com$mtm$pentobarbital-injection.html,Barbiturates
https:$$www.drugs.com$mtm$kisqali-femara-co-pack-200-mg-2-5-mg-dose.html,Antineoplastic combinations
https:$$www.drugs.com$cons$xanax-xr-oral.html,Benzodiazepines
https:$$www.drugs.com$mtm$cedazuridine-and-decitabine.html,Antineoplastic combinations
https:$$www.drugs.com$mtm$definity-rt.html,Ultrasound contrast media
https:$$www.drugs.com$pro$delestrogen.html,Estrogens
https:$$www.drugs.com$cons$articadent-dental-with-ephinephrine.html,Local injectable anesthetics
https:$$www.drugs.com$mtm$lumason.html,Diagnostic radiopharmaceuticals
https:$$www.drugs.com$xerese.html,Topical steroids with anti-infectives
https:$$www.drugs.com$pro$beovu-injection.html,Anti-angiogenic ophthalmic agents
